Year,District,Tree Cover (%)
2002,Karauli,1.9235206045011604
2003,Karauli,2.131926737674836
2004,Karauli,2.543417360323531
2005,Karauli,3.661009151457167
2006,Karauli,2.7321344758369266
2007,Karauli,2.3846768615999387
2008,Karauli,3.8988033099613846
2009,Karauli,2.45332503506637
2010,Karauli,2.902291622156374
2011,Karauli,2.4962283701083363
2012,Karauli,4.619538703055182
2013,Karauli,4.7721760910264726
2014,Karauli,3.69168262000046
2015,Karauli,2.801920817981682
2016,Karauli,2.868080693609014
2017,Karauli,3.2530000852908776
2018,Karauli,3.7284196783774157
2019,Karauli,3.3950073595043992
2020,Karauli,4.4889205469087115
2000,Ganganagar,1.2873236036371916
2001,Ganganagar,0.9093449069064576
2002,Ganganagar,0.4002314294172913
2003,Ganganagar,0.5092278061733531
2004,Ganganagar,0.5346114874440487
2005,Ganganagar,0.6510044680588454
2006,Ganganagar,1.0847674225291155
2007,Ganganagar,0.9524919216407766
2008,Ganganagar,0.8527281544761638
2009,Ganganagar,0.7542977575077607
2010,Ganganagar,1.449377510015126
2011,Ganganagar,1.104632819753826
2012,Ganganagar,1.5474135133571323
2013,Ganganagar,1.142812733502037
2014,Ganganagar,1.9757527121161924
2015,Ganganagar,1.903490750266774
2016,Ganganagar,1.0207635264070278
2017,Ganganagar,1.1459832094503677
2018,Ganganagar,1.2751026813119821
2019,Ganganagar,1.175046968995512
2020,Ganganagar,2.789750649799798
2000,Hanumangarh,1.2308048995143284
2001,Hanumangarh,0.9919485391154352
2002,Hanumangarh,0.5713511178203157
2003,Hanumangarh,0.8291091602865215
2004,Hanumangarh,0.8394248816708005
2005,Hanumangarh,1.0373901365934333
2006,Hanumangarh,1.1066614447958427
2007,Hanumangarh,1.0652713385204746
2008,Hanumangarh,1.2448039778835474
2009,Hanumangarh,0.9050390253932022
2010,Hanumangarh,1.5265343986742923
2011,Hanumangarh,1.6619170284766247
2012,Hanumangarh,1.9343665716860536
2013,Hanumangarh,2.093937068333362
2014,Hanumangarh,1.9034546187028478
2015,Hanumangarh,2.267604025740035
2016,Hanumangarh,1.5466884278730857
2017,Hanumangarh,1.9014215814151814
2018,Hanumangarh,1.7263368707286675
2019,Hanumangarh,1.7181586688220618
2020,Hanumangarh,3.6114427282650396
2000,Ajmer,1.8327481090063509
2001,Ajmer,1.5516321061084302
2002,Ajmer,1.739662280946185
2003,Ajmer,2.09651023644387
2004,Ajmer,1.928700951956353
2005,Ajmer,2.6191051914298624
2006,Ajmer,2.3546147337916663
2007,Ajmer,2.2623184367448093
2008,Ajmer,2.573768257651373
2009,Ajmer,2.258826646671702
2010,Ajmer,1.9429935708749015
2011,Ajmer,1.7794700658111446
2012,Ajmer,3.2757388427574785
2013,Ajmer,3.359933428917384
2014,Ajmer,3.4449527061601066
2015,Ajmer,2.6395919608071643
2016,Ajmer,2.629108484519941
2017,Ajmer,3.381045480107203
2018,Ajmer,2.568953962600636
2019,Ajmer,3.7005038934457364
2020,Ajmer,3.814985485072168
2000,Alwar,4.191144693989856
2001,Alwar,2.8722398629211545
2002,Alwar,2.4354362601114934
2003,Alwar,2.7216268819887657
2004,Alwar,3.0071829607903195
2005,Alwar,4.495998316795386
2006,Alwar,3.9876547592818987
2007,Alwar,3.12415168889534
2008,Alwar,3.6280805933400617
2009,Alwar,3.388987957569043
2010,Alwar,3.450878618185082
2011,Alwar,3.1108591757100643
2012,Alwar,4.842915974467908
2013,Alwar,5.906812175458406
2014,Alwar,4.863763382364147
2015,Alwar,3.9135265120387746
2016,Alwar,3.271867720166192
2017,Alwar,3.9152833307403148
2018,Alwar,4.895089783094246
2019,Alwar,4.634634649581225
2020,Alwar,5.921001527623034
2000,Banswara,4.527714460563357
2001,Banswara,3.6746441871567788
2002,Banswara,5.4259834471607915
2003,Banswara,3.7890701600186776
2004,Banswara,5.775684646722244
2005,Banswara,6.895720450027965
2006,Banswara,4.96579847776746
2007,Banswara,5.206637067401399
2008,Banswara,5.234970407014121
2009,Banswara,6.194250874674618
2010,Banswara,4.017498336409341
2011,Banswara,3.2802729993090862
2012,Banswara,5.316027325766127
2013,Banswara,7.6552738739388495
2014,Banswara,6.253978847774406
2015,Banswara,5.519119047785642
2016,Banswara,4.10870867508931
2017,Banswara,5.476461335892455
2018,Banswara,3.549733960052659
2019,Banswara,4.326970155120755
2020,Banswara,8.107466252298494
2000,Barmer,0.2509917184248319
2001,Barmer,0.3540856926327428
2002,Barmer,0.06257479862855762
2003,Barmer,0.91507554634354
2004,Barmer,0.29080906822775965
2005,Barmer,0.09358476979463386
2006,Barmer,0.6268281189450664
2007,Barmer,0.5108658505374953
2008,Barmer,0.6134656476203932
2009,Barmer,0.7312080450969334
2010,Barmer,1.28348412794729
2011,Barmer,1.132427470096515
2012,Barmer,0.8218579521991998
2013,Barmer,1.1562266968882178
2014,Barmer,0.4352059932293574
2015,Barmer,0.7044668241823949
2016,Barmer,0.35207385408609565
2017,Barmer,0.9467632204473344
2018,Barmer,0.3342399138473588
2019,Barmer,0.5481929358282256
2020,Barmer,0.9340306094638285
2000,Bhilwara,1.8801149067037701
2001,Bhilwara,1.6833731587602874
2002,Bhilwara,2.2475944681932973
2003,Bhilwara,2.0297691476682957
2004,Bhilwara,1.9701328724902227
2005,Bhilwara,3.208107916348869
2006,Bhilwara,3.236839660212675
2007,Bhilwara,2.6642625285387456
2008,Bhilwara,3.1543185882118507
2009,Bhilwara,2.8135092240418915
2010,Bhilwara,2.1175360265964644
2011,Bhilwara,1.8036926575089325
2012,Bhilwara,3.6068819013495066
2013,Bhilwara,4.016115572290975
2014,Bhilwara,3.9877769303084674
2015,Bhilwara,2.79275008298724
2016,Bhilwara,2.7524539304697933
2017,Bhilwara,3.3110408077593383
2018,Bhilwara,2.7744956783288086
2019,Bhilwara,3.902285379802809
2020,Bhilwara,4.347551390849193
2000,Bikaner,0.06811622635179751
2001,Bikaner,0.11820268994727426
2002,Bikaner,0.022865261387132796
2003,Bikaner,0.24699077794095428
2004,Bikaner,0.031902867745473566
2005,Bikaner,0.024584401343477818
2006,Bikaner,0.09512855690686622
2007,Bikaner,0.10400175075037187
2008,Bikaner,0.16531678366675445
