,State,Year,Temperature (°C)
488,Mizoram,2008,25.87783402116201
489,Mizoram,2009,27.10699703204625
490,Mizoram,2010,26.860604679943002
491,Mizoram,2011,26.296320590449447
492,Mizoram,2012,26.020125600947416
493,Mizoram,2013,25.960779570765986
494,Mizoram,2014,26.059050205175225
495,Mizoram,2015,25.80967728468344
496,Mizoram,2016,26.126320594962785
497,Mizoram,2017,25.99207516649606
498,Mizoram,2018,25.88039489670832
499,Mizoram,2019,26.9855811655898
500,Mizoram,2020,26.763141612371538
501,Mizoram,2021,27.417403938676642
502,Mizoram,2022,26.972834084348374
503,Mizoram,2023,27.25503780349758
504,Nagaland,2000,24.114749189174443
505,Nagaland,2001,24.851605468643506
506,Nagaland,2002,24.56782274604127
507,Nagaland,2003,24.562459061259375
508,Nagaland,2004,24.47331702597367
509,Nagaland,2005,24.827644296285207
510,Nagaland,2006,25.27724978536971
511,Nagaland,2007,24.95529245364436
512,Nagaland,2008,24.57223504515185
513,Nagaland,2009,25.845980536780132
514,Nagaland,2010,25.40292578561502
515,Nagaland,2011,25.119921438499922
516,Nagaland,2012,24.778091215602373
517,Nagaland,2013,24.983932708293597
518,Nagaland,2014,25.203173604108166
519,Nagaland,2015,24.699537977069795
520,Nagaland,2016,24.85255838738832
521,Nagaland,2017,24.836646731033007
522,Nagaland,2018,24.638805809553677
523,Nagaland,2019,25.132140431804366
524,Nagaland,2020,25.162867313055877
525,Nagaland,2021,25.681126388851006
526,Nagaland,2022,25.346072152117248
527,Nagaland,2023,25.70155896541383
528,Orissa,2000,31.248831432220612
529,Orissa,2001,31.238675518561354
530,Orissa,2002,31.491506203518554
531,Orissa,2003,31.351325297113856
532,Orissa,2004,31.111680669094273
533,Orissa,2005,31.473092318793228
534,Orissa,2006,31.37022119462995
535,Orissa,2007,31.3170870683999
536,Orissa,2008,31.14793324642822
537,Orissa,2009,32.01231311510814
538,Orissa,2010,31.843542597927375
539,Orissa,2011,31.09138518974036
540,Orissa,2012,31.525057867847103
541,Orissa,2013,30.957135922470066
