Month,State,Temperature (°C),Year
3,Assam,28.18884371515544,2020
4,Assam,29.440916507926673,2020
5,Assam,29.147535440101557,2020
6,Assam,30.351246966959927,2020
7,Assam,30.11871382597448,2020
8,Assam,32.55524559408456,2020
9,Assam,31.327297482338032,2020
10,Assam,31.694018762568792,2020
11,Assam,28.085336566901706,2020
12,Assam,24.694912826003687,2020
1,Assam,23.514633284688447,2021
2,Assam,27.145256856264698,2021
3,Assam,30.053678802070312,2021
4,Assam,31.533376841179148,2021
5,Assam,30.36102418326985,2021
6,Assam,31.281129896202692,2021
7,Assam,31.80444264474635,2021
8,Assam,31.27638309855004,2021
9,Assam,33.01233428716384,2021
10,Assam,32.072836917974094,2021
11,Assam,28.140351080372415,2021
12,Assam,25.373073774039273,2021
1,Assam,23.233552950158103,2022
2,Assam,23.436595498924802,2022
3,Assam,31.184044748119646,2022
4,Assam,28.115554926633664,2022
5,Assam,29.9964021955181,2022
6,Assam,29.6959516054209,2022
7,Assam,33.0363047630862,2022
8,Assam,33.05683900508943,2022
9,Assam,31.894561259820122,2022
10,Assam,29.942097610432782,2022
11,Assam,28.847085027711753,2022
12,Assam,25.398452512297972,2022
1,Assam,24.383797790410643,2023
2,Assam,25.890823703662125,2023
3,Assam,28.104064417892303,2023
4,Assam,30.547305149194226,2023
5,Assam,31.211710560309523,2023
6,Assam,31.529485324500733,2023
7,Assam,32.13516649241194,2023
8,Assam,31.627987088549776,2023
9,Assam,33.64465237220362,2023
10,Assam,30.585109261931766,2023
11,Assam,28.701931833461348,2023
12,Assam,25.43630620463675,2023
