Year,District,Tree Cover (%)
2017,Jorhat,22.7567078390853
2018,Jorhat,24.925432236996226
2019,Jorhat,26.294362886237526
2020,Jorhat,20.807067928151707
2000,Kokrajhar,23.338129808880648
2001,Kokrajhar,24.74802880149182
2002,Kokrajhar,23.533985060140868
2003,Kokrajhar,30.61477201802347
2004,Kokrajhar,27.16226676048501
2005,Kokrajhar,32.54866720841225
2006,Kokrajhar,28.23670808203889
2007,Kokrajhar,26.840473292968277
2008,Kokrajhar,30.883809256057926
2009,Kokrajhar,29.70806756078378
2010,Kokrajhar,27.92993976304813
2011,Kokrajhar,27.869938146761427
2012,Kokrajhar,23.99372438521218
2013,Kokrajhar,31.393930395956005
2014,Kokrajhar,23.11016336341363
2015,Kokrajhar,27.077669946359816
2016,Kokrajhar,23.02881991854864
2017,Kokrajhar,25.464141468783403
2018,Kokrajhar,28.470336269236515
2019,Kokrajhar,32.524363679247635
2020,Kokrajhar,26.429053042896623
2000,Lakhimpur,18.28256155529967
2001,Lakhimpur,18.58995583257566
2002,Lakhimpur,20.27982714474793
2003,Lakhimpur,17.370991454462253
2004,Lakhimpur,19.853219649611503
2005,Lakhimpur,20.4264708212022
2006,Lakhimpur,20.699085620317902
2007,Lakhimpur,22.27499168308048
2008,Lakhimpur,16.20880298172822
2009,Lakhimpur,22.33755200210222
2010,Lakhimpur,17.83812246046629
2011,Lakhimpur,18.325481208731826
2012,Lakhimpur,17.040778842626466
2013,Lakhimpur,19.882319083315483
2014,Lakhimpur,18.206819656569447
2015,Lakhimpur,24.210329691697744
2016,Lakhimpur,19.293686192298335
2017,Lakhimpur,20.3183608073826
2018,Lakhimpur,22.934687254316927
2019,Lakhimpur,25.555425784345264
2020,Lakhimpur,20.643463367192194
2000,Marigaon,14.372731827651185
2001,Marigaon,14.721513145750283
2002,Marigaon,15.104226250266608
2003,Marigaon,15.346876640671534
2004,Marigaon,14.113914453732654
2005,Marigaon,17.80342446377745
2006,Marigaon,16.02280398723651
2007,Marigaon,19.296462022721748
2008,Marigaon,16.540888833483866
2009,Marigaon,15.840921676883175
2010,Marigaon,15.108971761868466
2011,Marigaon,16.141421399991753
2012,Marigaon,15.761786465163112
2013,Marigaon,17.52670563923552
2014,Marigaon,15.071008867717724
2015,Marigaon,21.352256245639733
2016,Marigaon,17.132769441734016
2017,Marigaon,16.374837281333583
2018,Marigaon,18.37589809915817
2019,Marigaon,20.68303962064661
