State,Year,Month,Rainfall (mm)
Assam,2013,4,5.55991206307204
Assam,2013,5,15.606366118743919
Assam,2013,6,13.888310703045898
Assam,2013,7,14.601018968157007
Assam,2013,8,12.337757187319625
Assam,2013,9,7.233723874831436
Assam,2013,10,5.9242436711153745
Assam,2013,11,0.22566474368270772
Assam,2013,12,0.17537861757456777
Assam,2014,1,0.27503906860023025
Assam,2014,2,1.0320203924917386
Assam,2014,3,1.4462664745087601
Assam,2014,4,2.9864320998882765
Assam,2014,5,14.867981474110113
Assam,2014,6,13.750314668685506
Assam,2014,7,13.665099138022507
Assam,2014,8,10.954670574684002
Assam,2014,9,15.102218707975263
Assam,2014,10,2.1441745747466308
Assam,2014,11,0.2653135922317208
Assam,2014,12,0.13320515170425898
Assam,2015,1,0.4211703824022573
Assam,2015,2,0.8803747291657299
Assam,2015,3,1.7077960065587607
Assam,2015,4,7.141468641225935
Assam,2015,5,15.497976450036562
Assam,2015,6,17.441365894079134
Assam,2015,7,11.136262381963673
Assam,2015,8,14.559485326207694
Assam,2015,9,7.300552061639665
Assam,2015,10,3.3810316383142833
Assam,2015,11,0.6070996236083704
Assam,2015,12,0.29572703675160567
Assam,2016,1,0.6918302940774824
Assam,2016,2,1.0280986753562709
Assam,2016,3,3.3707268197004243
Assam,2016,4,9.38911933255325
Assam,2016,5,12.012031250139263
Assam,2016,6,12.996168348991779
Assam,2016,7,15.339733781658005
Assam,2016,8,8.833700615686464
Assam,2016,9,11.840109827097077
Assam,2016,10,3.5673582998061213
Assam,2016,11,0.7602339735791669
Assam,2016,12,0.17570027599242477
Assam,2017,1,0.31796916403570913
Assam,2017,2,1.3126477477583907
Assam,2017,3,3.9843350743598402
Assam,2017,4,8.0416788765465
Assam,2017,5,11.979642567837299
Assam,2017,6,17.44204578883725
Assam,2017,7,17.695847051568723
Assam,2017,8,12.198792543333658
Assam,2017,9,10.245274707326312
Assam,2017,10,7.1435521911038835
Assam,2017,11,0.3570239054574692
Assam,2017,12,0.3757594208500262
Assam,2018,1,0.40299538244416233
Assam,2018,2,0.7748118604716787
Assam,2018,3,3.0219679834698536
Assam,2018,4,4.974326199856812
Assam,2018,5,9.580835598871833
Assam,2018,6,13.558588449300512
Assam,2018,7,14.692739436929974
Assam,2018,8,11.481311826943266
Assam,2018,9,10.044196112685974
Assam,2018,10,2.6451492452993564
Assam,2018,11,0.5821259587795246
Assam,2018,12,0.4712289773395364
Assam,2019,1,0.3017933319457555
Assam,2019,2,1.201963483103109
Assam,2019,3,1.8464854137887803
Assam,2019,4,5.324708137151932
Assam,2019,5,13.800617018727193
Assam,2019,6,12.465202398399041
Assam,2019,7,17.5999506467333
Assam,2019,8,7.664238243954417
Assam,2019,9,10.994843823801562
Assam,2019,10,4.482173721041307
Assam,2019,11,0.5115094411689896
Assam,2019,12,0.17903576259215645
Assam,2020,1,0.9510371083435536
Assam,2020,2,1.0969069471765829
Assam,2020,3,1.492998210253588
Assam,2020,4,5.4464183894974
Assam,2020,5,12.417977904565115
Assam,2020,6,15.768486381143088
Assam,2020,7,15.149519118105264
Assam,2020,8,7.980338806902045
Assam,2020,9,12.085748254489765
Assam,2020,10,5.840785867844863
Assam,2020,11,0.6489841208431162
Assam,2020,12,0.15920303488023815
Assam,2021,1,0.4721330659698273
Assam,2021,2,0.5423862097187879
Assam,2021,3,2.378477790254996
Assam,2021,4,4.03759154601466
Assam,2021,5,9.228397843029638
Assam,2021,6,13.28868621666907
Assam,2021,7,11.128150629851387
Assam,2021,8,9.580648705330299
Assam,2021,9,7.970596703901606
Assam,2021,10,3.815850000251068
Assam,2021,11,0.2576001173318151
Assam,2021,12,0.34433573684599045
Assam,2022,1,0.7561704009342028
Assam,2022,2,1.594650865790691
Assam,2022,3,1.716740508424244
Assam,2022,4,5.582170728240693
Assam,2022,5,12.020256566371456
Assam,2022,6,19.04353236130864
Assam,2022,7,11.1921122037294
Assam,2022,8,8.00248878787246
Assam,2022,9,8.261873789251105
Assam,2022,10,7.57111078869861
Assam,2022,11,0.2193022694182939
Assam,2022,12,0.2837724218425516
Assam,2023,1,0.25900042137689416
Assam,2023,2,1.0548371096439324
Assam,2023,3,4.689420546358604
Assam,2023,4,4.499392311793753
Assam,2023,5,6.936052742497048
Assam,2023,6,14.713342774871258
Assam,2023,7,11.70140458942121
Assam,2023,8,11.258938738882037
Assam,2023,9,6.608309519779522
Assam,2023,10,4.611421814272856
Assam,2023,11,0.8156165025594807
Assam,2023,12,0.4144184317839554
