Year,Month,Temperature (°C)
2006,4,26.286941893542895
2006,5,28.698264060624762
2006,6,28.37506221077751
2006,7,27.65172013445336
2006,8,26.707218404958013
2006,9,26.291043785111416
2006,10,24.31842464412853
2006,11,20.117160401157996
2006,12,17.19229549690739
2007,1,16.8238170649726
2007,2,17.96782107287761
2007,3,22.409533386222623
2007,4,27.452608694210156
2007,5,29.02415144342686
2007,6,28.559079021840816
2007,7,27.38025067426676
2007,8,27.036707766343206
2007,9,26.133067911849622
2007,10,24.636573442814097
2007,11,20.8442947739702
2007,12,17.265755834376474
2008,1,15.19082116535392
2008,2,16.961505146332208
2008,3,23.185801997488376
2008,4,26.282497604661405
2008,5,28.630632549692383
2008,6,27.446585289491846
2008,7,27.27523328088196
2008,8,26.30954047860853
2008,9,26.05328992391589
2008,10,24.252764710768897
2008,11,20.86089999859143
2008,12,18.096872227183297
2009,1,17.178737392865617
2009,2,19.994424281488982
2009,3,23.32988225532395
2009,4,27.291514660233815
2009,5,28.722072569402222
2009,6,29.58602210420005
2009,7,27.93538472870994
2009,8,27.46671891046992
2009,9,26.791650034472205
2009,10,24.408293113449222
2009,11,20.10532962354206
2009,12,17.036203565894056
2010,1,15.686257657418318
2010,2,18.58315796159548
2010,3,24.581092471689804
2010,4,28.000113312211
2010,5,29.07761075390978
2010,6,28.81282174899144
2010,7,27.522699586312648
2010,8,26.895650670579187
2010,9,25.750847754354396
2010,10,23.994632327455523
2010,11,20.582164333274402
2010,12,16.405817662306756
2011,1,14.63543085560624
2011,2,18.06754509433165
2011,3,22.305281941839098
2011,4,25.400152066812137
2011,5,28.615007580233808
2011,6,27.884962296282325
2011,7,27.121070343853592
2011,8,26.370523750735195
2011,9,25.80899991484725
2011,10,24.245736243786638
2011,11,20.906387283578443
2011,12,17.403997687713304
2012,1,14.158111751881668
2012,2,17.81198551505824
2012,3,22.436915540402516
2012,4,25.808642052399076
2012,5,29.097714899703377
2012,6,29.4707590245952
2012,7,27.613311854531727
2012,8,26.770212689111613
2012,9,25.74720268518752
2012,10,23.68715848690963
2012,11,19.971989171640843
2012,12,17.01508941881303
2013,1,15.464927014260349
2013,2,18.072355831638102
2013,3,23.06837204113152
2013,4,25.932092573728923
2013,5,28.644499715621702
2013,6,28.145854208175223
2013,7,27.006255550147124
2013,8,26.728874128985037
2013,9,26.128073255805987
2013,10,23.451588886583917
2013,11,19.88635844226564
2013,12,16.761819898330263
2014,1,15.46864673211881
2014,2,17.32283040569511
2014,3,21.62662473051882
2014,4,26.42422780268513
2014,5,28.36985160187174
2014,6,29.76111163181645
2014,7,27.86534752203471
2014,8,27.002915135986097
2014,9,26.10365499466455
2014,10,24.201999081030348
2014,11,20.908940189815624
2014,12,16.9729841690892
2015,1,14.992971814634952
2015,2,18.804165397069003
2015,3,21.88244328689988
2015,4,25.293961705670338
2015,5,28.96436542709149
2015,6,28.314984003482305
2015,7,27.52048246192521
2015,8,26.92154356863851
2015,9,27.10132414842185
2015,10,24.92599556704438
2015,11,21.123542179945545
2015,12,16.985975769231718
2016,1,15.838949570011756
2016,2,19.644470628504564
2016,3,23.21916794722711
2016,4,27.2238270451708
2016,5,28.80815310407824
2016,6,28.98661442045728
2016,7,27.042089469848815
2016,8,27.054746787756695
2016,9,26.048608985335044
2016,10,24.531953527124664
2016,11,21.097198253897282
2016,12,18.68185336385691
2017,1,15.647390138846323
2017,2,19.677595051958043
2017,3,22.15475002634139
2017,4,27.17684748194883
2017,5,29.020675596843553
2017,6,28.274424511707824
2017,7,27.139721533264016
2017,8,26.983159421477342
2017,9,26.812279490854937
2017,10,25.132169743266115
2017,11,20.342815766656276
2017,12,17.874402882419048
2018,1,16.75461234801428
2018,2,19.29385902273494
2018,3,23.592598923230646
2018,4,26.574587863204794
2018,5,28.62891979575152
2018,6,28.785571687301086
2018,7,27.15704035019596
2018,8,26.626937521955433
2018,9,26.314335337943472
2018,10,23.6634480243798
2018,11,20.467211574486186
2018,12,16.159752143385997
2019,1,15.081381722549045
2019,2,17.510902600661343
2019,3,21.663082532170495
2019,4,27.157104528792186
2019,5,29.075484363592754
2019,6,29.747340448436397
2019,7,27.542126403741328
2019,8,27.13370107577332
2019,9,26.134899011881515
2019,10,23.530460019315225
2019,11,20.414266254662763
2019,12,15.339622102753285
2020,1,14.322902325398452
2020,2,17.982197160916854
2020,3,21.41584236937554
2020,4,25.711444016897396
2020,5,28.166768404274475
2020,6,27.99757007070745
2020,7,27.874202240496206
2020,8,27.394735493098413
2020,9,27.393237869610704
2020,10,25.725985754478444
2020,11,20.537117215236034
2020,12,17.467278677246405
2021,1,16.960215363575486
2021,2,20.372745685260266
2021,3,24.37434206639846
2021,4,26.73152872475638
2021,5,27.821385318116693
2021,6,28.346569694248355
2021,7,28.068505327808182
2021,8,27.371363164005732
2021,9,26.471984466518045
2021,10,25.005781877278622
2021,11,20.673571557212977
2021,12,16.718325335961985
2022,1,14.79612503694808
2022,2,17.58722020030827
2022,3,25.416236826688753
2022,4,28.602097148099073
2022,5,29.059530715244666
2022,6,29.348990733385218
2022,7,27.91457502655287
2022,8,27.46757164128516
2022,9,26.513543216427802
2022,10,24.060263500371395
2022,11,21.126844601634197
2022,12,18.316808918789633
2023,1,16.298638087874117
2023,2,20.715631119580465
2023,3,22.75796208620414
2023,4,26.150027303482123
2023,5,27.794752101529674
2023,6,29.215042077880184
2023,7,27.62748754585875
2023,8,27.66677016850903
2023,9,27.32450548450425
2023,10,24.866080510783757
2023,11,21.206607118925522
2023,12,17.928992765746276
