Year,Month,District,Flood Events,Flood Extent (sq km)
2003,8,Jabalpur,4871110,351.97192588235293
2003,9,Jabalpur,4871110,0.0
2003,10,Jabalpur,4871110,3561.960427058824
2003,11,Jabalpur,4871110,3900.891197647061
2003,12,Jabalpur,4871110,3874.7797870588242
2004,1,Jabalpur,4871110,653.5501482352935
2004,2,Jabalpur,4871110,3874.4847882352956
2004,3,Jabalpur,4871110,4384.068035294118
2004,4,Jabalpur,4871110,4384.068935294118
2004,5,Jabalpur,4871110,4384.068935294118
2004,6,Jabalpur,4871110,1812.2961811764708
2004,7,Jabalpur,4871110,2829.654088235294
2004,8,Jabalpur,4871110,0.0
2004,9,Jabalpur,4871110,4285.224370588236
2004,10,Jabalpur,4871110,4352.002884705883
2004,11,Jabalpur,4871110,4383.970394117648
2004,12,Jabalpur,4871110,4375.118911764705
2005,1,Jabalpur,4871110,3844.4190670588255
2005,2,Jabalpur,4871110,4379.025077647059
2005,3,Jabalpur,4871110,4384.066235294118
2005,4,Jabalpur,4871110,4383.808129411766
2005,5,Jabalpur,4871110,3861.7548247058835
2005,6,Jabalpur,4871110,4311.88113882353
2005,7,Jabalpur,4871110,883.2846035294117
2005,8,Jabalpur,4871110,582.4734211764701
2005,9,Jabalpur,4871110,4138.908095294118
2005,10,Jabalpur,4871110,3915.1612341176483
2005,11,Jabalpur,4871110,4383.899735294118
2005,12,Jabalpur,4871110,4265.970162352941
2006,1,Jabalpur,4871110,3859.45109647059
2006,2,Jabalpur,4871110,4383.976235294117
2006,3,Jabalpur,4871110,671.4839223529408
2006,4,Jabalpur,4871110,4384.068935294118
2006,5,Jabalpur,4871110,4384.068935294118
2006,6,Jabalpur,4871110,4371.713770588235
2006,7,Jabalpur,4871110,0.0
2006,8,Jabalpur,4871110,0.0
2006,9,Jabalpur,4871110,4338.041562352942
2006,10,Jabalpur,4871110,4384.065335294118
2006,11,Jabalpur,4871110,4371.461477647059
2006,12,Jabalpur,4871110,4380.768607058824
2007,1,Jabalpur,4871110,4296.1438941176475
2007,2,Jabalpur,4871110,4377.573582352941
2007,3,Jabalpur,4871110,4384.068935294118
2007,4,Jabalpur,4871110,4384.068935294118
2007,5,Jabalpur,4871110,4316.7420388235305
2007,6,Jabalpur,4871110,2728.0354976470608
2007,7,Jabalpur,4871110,0.0
2007,8,Jabalpur,4871110,0.0
2007,9,Jabalpur,4871110,4130.306230588237
2007,10,Jabalpur,4871110,4326.499602352941
2007,11,Jabalpur,4871110,3911.862864705883
2007,12,Jabalpur,4871110,3508.9846658823535
2008,1,Jabalpur,4871110,3907.494465882354
2008,2,Jabalpur,4871110,4021.5876988235314
2008,3,Jabalpur,4871110,4378.756852941177
2008,4,Jabalpur,4871110,4384.068935294117
2008,5,Jabalpur,4871110,4384.068935294118
2008,6,Jabalpur,4871110,3993.392534117647
2008,7,Jabalpur,4871110,0.0
2008,8,Jabalpur,4871110,244.47719647058815
2008,9,Jabalpur,4871110,3970.040876470589
2008,10,Jabalpur,4871110,4059.762317647061
2008,11,Jabalpur,4871110,4384.041935294117
2008,12,Jabalpur,4871110,4381.691167058824
2009,1,Jabalpur,4871110,1569.376284705884
2009,2,Jabalpur,4871110,4382.8636305882355
2009,3,Jabalpur,4871110,4383.964549411765
2009,4,Jabalpur,4871110,4384.068935294119
2009,5,Jabalpur,4871110,4384.068935294118
2009,6,Jabalpur,4871110,4383.94494
2009,7,Jabalpur,4871110,359.2180764705881
2009,8,Jabalpur,4871110,4047.3770717647067
2009,9,Jabalpur,4871110,4348.6880294117655
2009,10,Jabalpur,4871110,4384.066235294118
2009,11,Jabalpur,4871110,4382.97558
2009,12,Jabalpur,4871110,4345.801447058824
2010,1,Jabalpur,4871110,4379.4545894117655
